drawing_category,location,age,participant_id,distance_cat_site,recognized,target_similarity
watch,Beijing,4,THU4M5,0.04833984375,True,0.2958984375
hat,Beijing,5,THU5F2,0.0439453125,True,0.296630859375
car,Beijing,5,THU5F4,0.0576171875,True,0.302734375
tree,Beijing,8,THU8F13,0.04345703125,True,0.31396484375
tree,Beijing,4,THU5M03,0.04931640625,False,0.284423828125
watch,Beijing,4,THU4F03,0.03955078125,True,0.303466796875
tree,Beijing,9,THU9M15,0.0400390625,True,0.318115234375
hat,Beijing,5,THU5M7,0.06884765625,True,0.249267578125
bike,Beijing,5,THU5M1,0.10693359375,False,0.2459716796875
bird,Beijing,7,THU7F15,0.0615234375,False,0.2398681640625
house,Beijing,4,THU4F10,0.04345703125,False,0.279052734375
cup,Beijing,7,THU8M16,0.0224609375,False,0.28857421875
chair,Beijing,9,THU9M2,0.0458984375,False,0.2763671875
rabbit,Beijing,9,THU9M47,0.03564453125,True,0.3173828125
bike,Beijing,6,THU6F43,0.0576171875,False,0.283203125
house,Beijing,6,THU7M20,0.04541015625,True,0.309326171875
tree,Beijing,7,THU6M4,0.064453125,False,0.288330078125
bike,Beijing,7,THU8F33,0.1259765625,False,0.2568359375
house,Beijing,4,THU5F6,0.0625,False,0.25634765625
rabbit,Beijing,6,THU6M21,0.03173828125,True,0.299560546875
chair,Beijing,7,THU7M12,0.03466796875,False,0.274169921875
watch,Beijing,8,THU8M12,0.056640625,True,0.302001953125
car,Beijing,7,THU7M18,0.05908203125,False,0.269287109375
chair,Beijing,6,THU6F20,0.03466796875,True,0.29638671875
house,Beijing,5,THU5M3,0.05615234375,True,0.289794921875
rabbit,Beijing,9,THU9M2,0.03515625,True,0.309814453125
cup,Beijing,7,THU7F31,0.052734375,False,0.310546875
watch,Beijing,8,THU9M2,0.1064453125,True,0.354248046875
cat,Beijing,4,THU4F03,0.05322265625,False,0.27392578125
tree,Beijing,6,THU6F19,0.0439453125,False,0.27783203125
tree,Beijing,9,THU9F49,0.04833984375,True,0.294677734375
bird,Beijing,5,THU5M1,0.041015625,False,0.2626953125
chair,Beijing,7,THU7F41,0.05810546875,True,0.27197265625
bike,Beijing,7,THU7M17,0.06640625,False,0.279541015625
chair,Beijing,5,THU6M4,0.03955078125,True,0.28515625
tree,Beijing,9,THU9F38,0.05322265625,False,0.248046875
hat,Beijing,6,THU6F19,0.0302734375,True,0.315185546875
tree,Beijing,5,THU6M4,0.04638671875,True,0.3271484375
tree,Beijing,7,THU7F11,0.0576171875,False,0.2666015625
tree,Beijing,7,THU7F40,0.05126953125,True,0.28369140625
watch,Beijing,8,THU9F2,0.041015625,True,0.3310546875
hat,Beijing,7,THU7F31,0.0400390625,True,0.32421875
airplane,Beijing,6,THU6F32,0.0693359375,False,0.274658203125
chair,Beijing,4,THU4F10,0.03125,True,0.31005859375
watch,Beijing,4,THU5M5,0.05615234375,False,0.3056640625
watch,Beijing,8,THU8M1,0.03857421875,True,0.317138671875
bird,Beijing,6,THU6M2,0.072265625,False,0.2342529296875
airplane,Beijing,8,THU8M35,0.07373046875,False,0.29736328125
cup,Beijing,9,THU9M47,0.0419921875,True,0.34765625
airplane,Beijing,6,THU6M31,0.0322265625,True,0.293212890625
hat,Beijing,5,THU5M1,0.02978515625,False,0.2763671875
cat,Beijing,7,THU7M18,0.04052734375,False,0.274658203125
cat,Beijing,6,THU6M30,0.05908203125,True,0.30419921875
rabbit,Beijing,8,THU8F14,0.046875,True,0.31298828125
chair,Beijing,4,THU5F6,0.048828125,True,0.265625
cat,Beijing,8,THU8M17,0.0986328125,False,0.260986328125
cat,Beijing,9,THU9M12,0.1240234375,False,0.25341796875
